director_name,num_critic_for_reviews,gross,genres,actor_1_name,movie_title,num_voted_users,num_user_for_reviews,language,budget,title_year,imdb_score,movie_facebook_likes
Ernest R. Dickerson,66,21088568,Action|Fantasy|Horror|Thriller,CCH Pounder,Tales from the Crypt: Demon Knight ,16646,104,English,13000000.0,1995,6.7,0
Tim Hill,37,17292381,Comedy|Crime|Family,Noel Fisher,Max Keeble's Big Move ,5794,69,English,12000000.0,2001,5.3,371
Jason Reitman,325,16300302,Comedy|Drama,Charlize Theron,Young Adult ,64682,203,English,12000000.0,2011,6.3,0
Mark Neveldine,170,27829874,Action|Crime|Thriller,Jason Statham,Crank ,196422,444,English,12000000.0,2006,7.0,0
Lionel C. Martin,11,13960203,Comedy,Bernie Mac,How to Be a Player ,2301,15,English,20000000.0,1997,5.3,439
Richard LaGravenese,24,12902790,Comedy|Drama|Romance,Holly Hunter,Living Out Loud ,4052,88,English,12000000.0,1998,6.6,242
Sanaa Hamri,70,21520719,Comedy|Romance|Sport,Common,Just Wright ,10103,36,English,20000000.0,2010,5.8,0
Jonathan Demme,232,12796277,Drama|Romance,Anne Hathaway,Rachel Getting Married ,41226,281,English,20000000.0,2008,6.7,0
Bob Rafelson,34,25517500,Crime|Drama|Romance|Thriller,Anjelica Huston,The Postman Always Rings Twice ,16764,48,English,12000000.0,1981,6.6,1000
Peter Webber,160,11634362,Biography|Drama|Romance,Scarlett Johansson,Girl with a Pearl Earring ,60171,296,English,20000000.0,2003,7.0,0
Wolfgang Petersen,96,11433134,Adventure|Drama|Thriller|War,Jürgen Prochnow,Das Boot ,168203,426,German,14000000.0,1981,8.4,11000
Wallace Wolodarsky,53,10198766,Comedy,Heather Matarazzo,Sorority Boys ,12007,105,English,12000000.0,2002,5.4,507
Richard Curtis,274,15294553,Drama|Fantasy|Romance,Tom Hughes,About Time ,202341,391,English,12000000.0,2013,7.8,105000
Nicholas Jarecki,288,7918283,Drama|Thriller,Nate Parker,Arbitrage ,41574,145,English,12000000.0,2012,6.6,0
Dean Israelite,177,22331028,Sci-Fi|Thriller,Gary Weeks,Project Almanac ,57349,177,English,12000000.0,2015,6.4,0
Darnell Martin,81,8134217,Biography|Drama|Music,Cedric the Entertainer,Cadillac Records ,15412,90,English,12000000.0,2008,7.0,0
Scott Alexander,29,6982680,Comedy|Crime,Sarah Silverman,Screwed ,6965,69,English,10000000.0,2000,5.7,262
Stuart Gordon,58,6739141,Action|Crime|Sci-Fi|Thriller,Christopher Lambert,Fortress ,23383,68,English,8000000.0,1992,5.9,1000
Christopher Guest,144,5542025,Comedy,John Michael Higgins,For Your Consideration ,12197,150,English,12000000.0,2006,6.3,650
Woody Allen,114,5032496,Comedy|Drama,Melanie Griffith,Celebrity ,20576,161,English,12000000.0,1998,6.3,652
Ryan Murphy,132,6754898,Comedy|Drama,Jill Clayburgh,Running with Scissors ,20000,188,English,12000000.0,2006,6.2,0
Robert Iscove,60,4922166,Comedy|Musical|Romance,Anika Noni Rose,From Justin to Kelly ,23606,304,English,12000000.0,2003,2.1,0
Spike Lee,30,4903000,Comedy|Drama,Michael Imperioli,Girl 6 ,4961,33,English,12000000.0,1996,5.0,251
Jane Campion,138,4717455,Mystery|Thriller,Jennifer Jason Leigh,In the Cut ,18632,354,English,12000000.0,2003,5.3,656
James Gray,190,3148482,Drama|Romance,Isabella Rossellini,Two Lovers ,29613,98,English,12000000.0,2008,7.1,0
Fred Schepisi,61,2326407,Drama,Bob Hoskins,Last Orders ,5016,99,English,12000000.0,2001,7.0,305
Roger Spottiswoode,2,25517500,Adventure|Crime|Thriller,Robert Duvall,The Pursuit of D.B. Cooper ,763,10,English,12000000.0,1981,5.7,135
Antonia Bird,131,2060953,Fantasy|Horror|Thriller,Jeremy Davies,Ravenous ,29990,316,English,12000000.0,1999,7.1,0
Jon Poll,146,3950294,Comedy|Drama|Romance,Robert Downey Jr.,Charlie Bartlett ,56654,124,English,12000000.0,2007,7.0,0
Paolo Sorrentino,280,2835886,Drama,Toni Servillo,The Great Beauty ,55516,124,Italian,9200000.0,2013,7.7,29000
Peter Care,78,1779284,Comedy|Drama,Kieran Culkin,The Dangerous Lives of Altar Boys ,12047,122,English,12000000.0,2002,7.1,677
Chan-wook Park,469,1702277,Drama|Thriller,Mia Wasikowska,Stoker ,84620,235,English,12000000.0,2013,6.8,27000
Kar-Wai Wong,194,261481,Drama|Romance|Sci-Fi,Li Gong,2046 ,41496,210,Cantonese,12000000.0,2004,7.5,0
Ira Sachs,121,1506998,Crime|Drama|Romance,David Richmond-Peck,Married Life ,8014,50,English,12000000.0,2007,6.3,314
Carroll Ballard,38,860002,Adventure|Drama|Family,Eamonn Walker,Duma ,6454,43,English,12000000.0,2005,7.3,0
Neil Jordan,123,548934,Drama|Mystery|Romance,Tony Curran,Ondine ,16863,57,English,12000000.0,2009,6.8,0
Takeshi Kitano,81,447750,Crime|Drama|Thriller,Omar Epps,Brother ,18520,133,English,10000000.0,2000,7.2,0
Anthony Russo,72,333976,Comedy|Crime,Michael Jeter,Welcome to Collinwood ,12559,90,English,12000000.0,2002,6.4,423
Sidney Lumet,25,141853,Comedy|Drama,Kyra Sedgwick,Critical Care ,1427,12,English,12000000.0,1997,6.0,88
Vadim Perelman,78,303439,Drama|Mystery|Thriller,Eva Amurri Martino,The Life Before Her Eyes ,12125,78,English,8000000.0,2007,6.4,1000
Lawrence Kasdan,57,793352,Comedy|Drama|Romance,Dianne Wiest,Darling Companion ,2551,25,English,20000000.0,2012,5.1,0
Marco Kreuzpaintner,69,214202,Crime|Drama|Thriller,Zack Ward,Trade ,14831,75,English,12000000.0,2007,7.5,0
Alan Rudolph,42,175370,Comedy,Bruce Willis,Breakfast of Champions ,6884,133,English,12000000.0,1999,4.6,458
Yimou Zhang,101,190666,Comedy|Drama,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",2410,20,Mandarin,20000000.0,2009,5.7,784
Vincenzo Natali,82,25517500,Mystery|Romance|Sci-Fi|Thriller,David Hewlett,Cypher ,27052,124,English,7500000.0,2002,6.8,0
Chuan Lu,149,119922,Drama|History|War,Ye Liu,City of Life and Death ,8429,62,Mandarin,12000000.0,2009,7.7,0
Lijun Sun,5,25517500,Action|Adventure|Animation|Comedy|Family,Jon Heder,Legend of Kung Fu Rabbit ,408,12,Mandarin,20000000.0,2011,3.2,211
Takashi Yamazaki,44,25517500,Action|Adventure|Drama|Sci-Fi,Takuya Kimura,Space Battleship Yamato ,4899,49,Japanese,12000000.0,2010,6.1,0
Renny Harlin,74,17149,Action|Drama|War,Richard Coyle,5 Days of War ,12128,61,English,20000000.0,2011,5.6,0
Christopher Smith,156,25517500,Fantasy|Mystery|Thriller,Rachael Carpani,Triangle ,64423,293,English,12000000.0,2009,6.9,13000
Timothy Hines,1,14616,Drama,Christopher Lambert,10 Days in a Madhouse ,314,10,English,12000000.0,2015,7.5,26000
Randall Wallace,82,91443253,Biography|Drama,Jacob Vargas,Heaven Is for Real ,21034,153,English,12000000.0,2014,5.8,23000
Guy Ritchie,151,30093107,Comedy|Crime,Jason Statham,Snatch ,600996,726,English,6000000.0,2000,8.3,27000
David Winters,3,25517500,Family|Musical,Gary Daniels,Dancin' It's On ,105,7,English,12000000.0,2015,2.8,634
Mary Lambert,98,57469179,Fantasy|Horror,Miko Hughes,Pet Sematary ,63855,248,English,11500000.0,1989,6.6,0
Akira Kurosawa,25,48856,Drama,Tatsuo Matsumura,Madadayo ,3466,40,Japanese,11900000.0,1993,7.5,355
Jamie Thraves,35,25517500,Drama|Thriller,Paddy Considine,The Cry of the Owl ,3737,27,English,11500000.0,2009,6.0,443
Mabel Cheung,6,25517500,Drama,Wei Tang,A Tale of Three Cities ,117,6,Chinese,12000000.0,2015,6.2,4
Joe Dante,183,148170000,Comedy|Fantasy|Horror,Phoebe Cates,Gremlins ,142293,245,English,11000000.0,1984,7.2,14000
George Lucas,282,460935665,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope ,911097,1470,English,11000000.0,1977,8.7,33000
Dan Mazer,158,35537564,Comedy,Robert De Niro,Dirty Grandpa ,49671,166,English,11500000.0,2016,6.0,11000
David Lean,89,111722000,Drama|Romance|War,Julie Christie,Doctor Zhivago ,55816,255,English,11000000.0,1965,8.0,7000
Stephen Daldry,101,10230,Adventure|Crime|Drama|Mystery|Thriller,Wagner Moura,Trash ,14437,26,Portuguese,20000000.0,2014,7.2,0
Kenny Ortega,128,90556401,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical 3: Senior Year ,43795,171,English,11000000.0,2008,4.5,0
David O. Russell,410,93571803,Biography|Drama|Sport,Christian Bale,The Fighter ,275869,389,English,25000000.0,2010,7.9,36000
Jeff Tremaine,104,72755517,Action|Comedy|Documentary,Bam Margera,Jackass Number Two ,56595,196,English,20000000.0,2006,7.1,641
Jonathan Lynn,54,52929168,Comedy|Crime,Fred Gwynne,My Cousin Vinny ,82743,201,English,11000000.0,1992,7.5,7000
R.J. Cutler,141,50461335,Drama|Fantasy|Music|Romance,Chloë Grace Moretz,If I Stay ,83893,132,English,11000000.0,2014,6.8,15000
Brian Trenchard-Smith,30,25517500,Action|Comedy|Crime,Zoe Ventoura,Drive Hard ,3104,33,English,12000000.0,2014,4.3,774
David S. Ward,57,49797148,Comedy|Sport,Corbin Bernsen,Major League ,49007,97,English,11000000.0,1989,7.2,0
Oliver Parker,56,25517500,Comedy,Lily Cole,St. Trinian's ,18220,102,English,13500000.0,2007,5.8,0
Joel Schumacher,216,46563158,Crime|Thriller,Radha Mitchell,Phone Booth ,207934,629,English,13000000.0,2002,7.1,0
Adam Shankman,80,41227069,Drama|Romance,Lauren German,A Walk to Remember ,162701,962,English,11000000.0,2002,7.4,19000
Tim Robbins,77,39025000,Crime|Drama,Lois Smith,Dead Man Walking ,73193,190,English,11000000.0,1995,7.6,0
Roger Kumble,101,38201895,Drama|Romance,Sarah Michelle Gellar,Cruel Intentions ,149222,749,English,10500000.0,1999,6.9,0
Kevin Greutert,156,27669413,Horror|Mystery,Costas Mandylor,Saw VI ,76207,194,English,11000000.0,2009,6.0,0
Mel Brooks,48,25517500,Comedy,Madeline Kahn,History of the World: Part I ,36559,131,English,11000000.0,1981,6.9,0
Gina Prince-Bythewood,109,37766350,Drama,Nate Parker,The Secret Life of Bees ,19440,56,English,11000000.0,2008,7.3,0
Rob Pritts,62,23978402,Comedy|Crime,Vincent Pastore,Corky Romano ,10966,100,English,11000000.0,2001,4.6,365
Brian De Palma,33,21370057,Crime|Drama|Thriller,Steven Bauer,Raising Cain ,9903,80,English,12000000.0,1992,6.0,541
Norman Jewison,20,25517500,Drama,Sylvester Stallone,F.I.S.T. ,5561,35,English,11000000.0,1978,6.4,745
Tobe Hooper,52,4884663,Horror|Sci-Fi,Louise Fletcher,Invaders from Mars ,5187,64,English,12000000.0,1986,5.5,902
John Crowley,351,38317535,Drama|Romance,Julie Walters,Brooklyn ,73249,212,English,11000000.0,2015,7.5,36000
Stanley Kubrick,124,25517500,Adventure|Drama|History|War,Ryan O'Neal,Barry Lyndon ,101627,369,English,11000000.0,1975,8.1,0
Brendan Malloy,37,13903262,Comedy|Sport,Lee Majors,Out Cold ,14656,90,English,11000000.0,2001,6.3,0
Reginald Hudlin,58,13592872,Comedy,Will Ferrell,The Ladies Man ,10777,79,English,11000000.0,2000,5.1,671
Dustin Hoffman,175,18381787,Comedy|Drama,Luke Newberry,Quartet ,15684,126,English,11000000.0,2012,6.8,13000
Gregory Poirier,75,13558739,Comedy,Shannon Elizabeth,Tomcats ,15427,121,English,11000000.0,2001,5.3,449
Bill Paxton,161,13103828,Crime|Drama|Thriller,Matthew McConaughey,Frailty ,59982,463,English,11000000.0,2001,7.3,5000
Simon Curtis,203,33305037,Biography|Drama|History,Ryan Reynolds,Woman in Gold ,33856,147,English,11000000.0,2015,7.3,34000
Bill Condon,188,10214647,Biography|Drama,Liam Neeson,Kinsey ,42689,204,English,11000000.0,2004,7.1,0
Sam Raimi,221,11501093,Comedy|Fantasy|Horror,Patricia Tallman,Army of Darkness ,128850,604,English,13000000.0,1992,7.6,10000
Dewey Nicks,66,4814244,Comedy|Romance,Jaime King,Slackers ,12437,107,English,11000000.0,2002,5.3,405
Lasse Hallström,80,9170214,Drama|Romance,Johnny Depp,What's Eating Gilbert Grape ,171882,292,English,11000000.0,1993,7.8,14000
Philip Saville,25,4068087,Biography|Drama|History,Henry Ian Cusick,The Visual Bible: The Gospel of John ,2164,74,English,17000000.0,2003,7.7,0
Mike Leigh,169,3753806,Crime|Drama,Eddie Marsan,Vera Drake ,20307,165,English,11000000.0,2004,7.7,0
Daisy von Scherler Mayer,70,3034181,Comedy|Music|Romance,Michael McKean,The Guru ,13622,128,English,11000000.0,2002,5.4,550
Mira Nair,15,2832826,Comedy|Drama|Romance,Anjelica Huston,The Perez Family ,1761,19,English,11000000.0,1995,6.2,174
Ethan Coen,535,13214255,Drama|Music,Justin Timberlake,Inside Llewyn Davis ,96233,313,English,11000000.0,2013,7.4,26000
Tim Blake Nelson,92,16017403,Drama|Romance|Thriller,Mekhi Phifer,O ,17333,153,English,5000000.0,2001,6.2,0
William A. Graham,14,2807854,Adventure|Drama|Romance,Milla Jovovich,Return to the Blue Lagoon ,14129,39,English,11000000.0,1991,5.1,967
Martin Ritt,13,25517500,Drama|History,Frank Finlay,The Molly Maguires ,2603,36,English,11000000.0,1970,6.9,608
John Turturro,87,540085,Comedy|Musical|Romance,Kate Winslet,Romance & Cigarettes ,10052,69,English,20000000.0,2005,6.3,0
Agnieszka Holland,78,352786,Biography|Drama|Music,Phyllida Law,Copying Beethoven ,11132,86,English,11000000.0,2006,6.8,0
Tobe Hooper,223,76600000,Fantasy|Horror,Heather O'Rourke,Poltergeist ,105448,321,English,10700000.0,1982,7.4,11000
Rowan Joffe,136,25517500,Crime|Drama|Thriller,Sam Riley,Brighton Rock ,5013,59,English,12000000.0,2010,5.7,0
David Hackl,160,56729973,Horror|Mystery,Julie Benz,Saw V ,88529,262,English,10800000.0,2008,5.8,0
Giuliano Montaldo,28,25517500,Crime|Drama|Thriller,John Cassavetes,Machine Gun McCain ,618,12,English,20000000.0,1969,6.2,85
Lisa Azuelos,54,25517500,Comedy|Drama|Romance,Nora Dunn,LOL ,45144,111,English,11000000.0,2012,4.3,18000
Ray Lawrence,75,399879,Crime|Drama|Mystery|Thriller,John Howard,Jindabyne ,5772,115,English,15000000.0,2006,6.4,302
Oliver Parker,105,18535191,Comedy|Romance,Minnie Driver,An Ideal Husband ,12980,132,English,14000000.0,1999,6.9,646
Ruairi Robinson,120,23838,Horror|Sci-Fi|Thriller,Romola Garai,The Last Days on Mars ,28570,160,English,7000000.0,2013,5.5,0
Jaume Balagueró,108,22160085,Horror,Lena Olin,Darkness ,16747,349,English,10600000.0,2002,5.4,1000
Stanley Kubrick,285,56715371,Adventure|Mystery|Sci-Fi,Keir Dullea,2001: A Space Odyssey ,427357,1736,English,12000000.0,1968,8.3,24000
Steven Spielberg,215,434949459,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial ,281842,515,English,10500000.0,1982,7.9,34000
Jon Kasdan,81,11043445,Comedy|Drama|Romance,Kristen Stewart,In the Land of Women ,27689,74,English,10000000.0,2007,6.5,1000
Léa Pool,17,25517500,Adventure|Drama,William Hurt,The Blue Butterfly ,1337,28,English,12500000.0,2004,6.3,392
Floyd Mutrux,5,125169,Comedy|Drama,Ricky Schroder,There Goes My Baby ,859,31,English,10500000.0,1994,6.4,119
unknown,3,25517500,Comedy,Antonia Thomas,Lovesick             ,2651,18,English,20000000.0,2009,7.9,0
Sajid Khan,10,1165104,Comedy,Arjun Rampal,Housefull ,8598,43,Hindi,20000000.0,2010,5.3,250
Christopher Cain,43,1066555,Drama|History|Romance|Western,Jon Gries,September Dawn ,2618,111,unknown,11000000.0,2007,5.8,411
Dean Wright,43,5669081,Drama|History|War,Santiago Cabrera,For Greater Glory: The True Story of Cristiada ,3665,57,Spanish,10818775.0,2012,6.6,0
Eric Lartigau,94,25517500,Comedy|Drama|Music,Karin Viard,La Famille Bélier ,15060,27,French,11000000.0,2014,7.4,0
Gus Van Sant,161,138339411,Drama,Robin Williams,Good Will Hunting ,604904,682,English,10000000.0,1997,8.3,31000
Shintaro Shimosawa,38,25517500,Drama|Thriller,Al Pacino,Misconduct ,6935,50,English,11000000.0,2016,5.3,0
Darren Lynn Bousman,210,80150343,Horror|Mystery,Costas Mandylor,Saw III ,142115,614,English,10000000.0,2006,6.2,0
Ivan Reitman,52,85300000,Action|Comedy|War,Bill Murray,Stripes ,48629,134,English,10000000.0,1981,6.9,0
Peyton Reed,139,68353550,Comedy|Sport,Kirsten Dunst,Bring It On ,70141,385,English,10000000.0,2000,5.9,0
James DeMonaco,165,78845130,Action|Horror|Sci-Fi|Thriller,Frank Grillo,The Purge: Election Year ,17596,94,English,10000000.0,2016,6.1,0
Robert Iscove,96,63319509,Comedy|Romance,Paul Walker,She's All That ,67115,389,English,10000000.0,1999,5.8,0
Lee Daniels,323,47536959,Drama,Mo'Nique,Precious ,86956,275,English,10000000.0,2009,7.3,12000
Darren Lynn Bousman,190,63270259,Horror|Mystery,Costas Mandylor,Saw IV ,111087,319,English,10000000.0,2007,5.9,0
Geoffrey Sax,173,55865715,Drama|Horror|Mystery|Thriller,Deborah Kara Unger,White Noise ,41763,403,English,10000000.0,2005,5.5,0
Tyler Perry,46,63231524,Comedy|Drama|Romance,Boris Kodjoe,Madea's Family Reunion ,8962,137,English,6000000.0,2006,5.0,676
Martin Scorsese,59,52293982,Drama|Sport,Tom Cruise,The Color of Money ,57831,115,English,13800000.0,1986,7.0,0
Ken Annakin,53,25517500,Action|Drama|History|War,Richard Burton,The Longest Day ,43270,192,English,10000000.0,1962,7.8,0
Stephen Herek,22,50752337,Comedy|Drama|Family|Sport,Lane Smith,The Mighty Ducks ,44502,46,English,10000000.0,1992,6.4,0
Takashi Shimizu,203,110175871,Horror|Mystery|Thriller,Sarah Michelle Gellar,The Grudge ,115050,911,English,10000000.0,2004,5.9,4000
Dennis Dugan,77,38624000,Comedy|Sport,Adam Sandler,Happy Gilmore ,156143,289,English,12000000.0,1996,7.0,0
Victor Salva,190,37470017,Horror|Mystery,Eileen Brennan,Jeepers Creepers ,86890,985,English,10000000.0,2001,6.1,0
Stephen Herek,81,40485039,Adventure|Comedy|Music|Sci-Fi,Keanu Reeves,Bill & Ted's Excellent Adventure ,85362,181,English,10000000.0,1989,6.9,0
Carol Reed,56,16800000,Drama|Family|Musical,Oliver Reed,Oliver! ,25303,138,English,10000000.0,1968,7.5,0
John Madden,264,46377022,Comedy|Drama,Tom Wilkinson,The Best Exotic Marigold Hotel ,75306,266,English,10000000.0,2011,7.3,48000
Chuck Sheetz,44,36696761,Animation|Comedy|Family|Mystery|Sci-Fi,Diedrich Bader,Recess: School's Out ,6808,38,English,23000000.0,2001,6.5,227
George Miller,117,36200000,Action|Adventure|Sci-Fi|Thriller,Tina Turner,Mad Max Beyond Thunderdome ,101840,193,English,12305523.0,1985,6.2,0
Mark L. Lester,124,25517500,Action|Adventure|Thriller,Bill Duke,Commando ,111649,437,English,10000000.0,1985,6.7,0
William Brent Bell,159,35794166,Horror|Mystery|Thriller,Lauren Cohan,The Boy ,35654,155,English,10000000.0,2016,6.0,20000
John Erick Dowdle,273,33583175,Horror|Mystery|Thriller,Bojana Novakovic,Devil ,104089,319,English,10000000.0,2010,6.3,16000
Marcus Raboy,26,32983713,Comedy|Drama,John Witherspoon,Friday After Next ,19284,66,English,20000000.0,2002,5.8,981
Leigh Whannell,242,52200504,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 3 ,54190,183,English,10000000.0,2015,6.1,29000
Michael Schultz,55,33000000,Action|Comedy|Drama|Music,Mike Starr,The Last Dragon ,9424,109,English,10000000.0,1985,6.9,0
Brett Leonard,48,32101000,Horror|Sci-Fi,Jeff Fahey,The Lawnmower Man ,27800,96,English,10000000.0,1992,5.4,0
Peter Sollett,166,31487293,Comedy|Drama|Music|Romance,Ari Graynor,Nick and Norah's Infinite Playlist ,74887,129,English,9000000.0,2008,6.7,0
Kevin Smith,206,30651422,Adventure|Comedy|Drama|Fantasy,Matt Damon,Dogma ,181737,1015,English,10000000.0,1999,7.4,10000
Bob Dolman,92,30306281,Comedy|Drama,Erika Christensen,The Banger Sisters ,12388,147,English,10000000.0,2002,5.6,744
Joe Dante,78,29500000,Fantasy|Horror|Sci-Fi,Albert Brooks,Twilight Zone: The Movie ,25613,121,English,10000000.0,1983,6.5,0
Rowdy Herrington,83,30050028,Action|Thriller,Ben Gazzara,Road House ,42987,201,English,17000000.0,1989,6.5,0
Keenen Ivory Wayans,8,29392418,Action|Comedy|Crime,Jada Pinkett Smith,A Low Down Dirty Shame ,3924,26,English,10000000.0,1994,5.8,368
John Polson,86,28563926,Drama|Thriller,Erika Christensen,Swimfan ,16300,217,English,8500000.0,2002,5.0,720
Greg Coolidge,85,28435406,Comedy|Romance,Dane Cook,Employee of the Month ,37681,151,English,12000000.0,2006,5.5,0
Harry Elfont,76,25339117,Comedy|Romance,Ethan Embry,Can't Hardly Wait ,37885,247,English,10000000.0,1998,6.5,0
Francis Ford Coppola,60,25600000,Crime|Drama,Tom Cruise,The Outsiders ,57363,308,English,10000000.0,1983,7.2,10000
David Cronenberg,112,25517500,Horror|Sci-Fi|Thriller,Tom Skerritt,The Dead Zone ,44804,182,English,10000000.0,1983,7.2,0
Ciarán Foy,189,27736779,Horror|Mystery|Thriller,Laila Haley,Sinister 2 ,25210,126,English,10000000.0,2015,5.2,13000
Salim Akil,82,24397469,Drama|Music,Omari Hardwick,Sparkle ,5161,48,English,17000000.0,2012,5.7,0
Jamie Blanks,120,20384136,Horror|Mystery|Thriller,Marley Shelton,Valentine ,20467,371,English,10000000.0,2001,4.7,0
Olatunde Osunsanmi,183,25464480,Mystery|Sci-Fi|Thriller,Milla Jovovich,The Fourth Kind ,63108,330,English,10000000.0,2009,5.9,15000
Robert Altman,211,20338609,Comedy|Drama|Music,Meryl Streep,A Prairie Home Companion ,19655,280,English,10000000.0,2006,6.8,683
Leon Ichaso,14,18272447,Drama|Thriller,Khandi Alexander,Sugar Hill ,3119,35,English,10000000.0,1993,5.9,331
Joseph Zito,54,25517500,Action|Thriller,Billy Drago,Invasion U.S.A. ,6143,90,English,10000000.0,1985,5.3,0
Malcolm D. Lee,55,17378977,Comedy|Drama|Music|Romance,Jurnee Smollett-Bell,Roll Bounce ,5585,75,English,20000000.0,2005,6.0,997
Wes Anderson,179,17096053,Comedy|Drama,Bill Murray,Rushmore ,134458,640,English,9000000.0,1998,7.7,5000
Colin Strause,221,21371425,Action|Sci-Fi|Thriller,David Zayas,Skyline ,76199,944,English,10000000.0,2010,4.4,13000
John Madden,158,33071558,Comedy|Drama,Tina Desai,The Second Best Exotic Marigold Hotel ,22369,100,English,10000000.0,2015,6.6,21000
Patricia Rozema,73,17655201,Drama|Family,Julia Ormond,Kit Kittredge: An American Girl ,4719,24,English,10000000.0,2008,6.7,851
Mark Rosman,65,16247775,Comedy|Family|Romance,Ben Feldman,The Perfect Man ,23527,104,English,25000000.0,2005,5.5,767
Spike Lee,23,16153600,Drama|Music|Romance,Denzel Washington,Mo' Better Blues ,8295,30,English,10000000.0,1990,6.5,720
Steve Oedekerk,63,16033556,Action|Comedy,Steve Oedekerk,Kung Pow: Enter the Fist ,37901,518,English,10000000.0,2002,6.2,0
Ron Underwood,132,16667084,Comedy|Horror|Sci-Fi,Reba McEntire,Tremors ,90070,248,English,11000000.0,1990,7.1,11000
Rob Schmidt,191,15417771,Horror|Thriller,Kevin Zegers,Wrong Turn ,87494,540,English,12600000.0,2003,6.1,0
Walter Hill,52,25517500,Western,Dennis Quaid,The Long Riders ,7322,78,English,10000000.0,1980,7.1,680
James Foley,91,15156200,Action|Crime|Drama|Mystery|Thriller,Byron Mann,The Corruptor ,15358,131,English,30000000.0,1999,6.0,328
Jeff Nichols,368,21589307,Drama,Matthew McConaughey,Mud ,135286,261,English,10000000.0,2012,7.4,27000
Robert Ben Garant,89,20339754,Comedy|Crime,Wendi McLendon-Covey,Reno 911!: Miami ,23928,73,English,10000000.0,2007,5.9,441
Morgan Spurlock,83,28873374,Documentary|Music,Harry Styles,One Direction: This Is Us ,22161,68,English,10000000.0,2013,4.1,0
Neal Brennan,83,15102127,Comedy,Rob Riggle,"The Goods: Live Hard, Sell Hard ",17790,59,English,20000000.0,2009,5.8,0
Tuck Tucker,33,13684949,Adventure|Animation|Comedy|Family,Jennifer Jason Leigh,Hey Arnold! The Movie ,4564,43,English,3000000.0,2002,5.9,227
Simon Curtis,386,14597405,Biography|Drama,Eddie Redmayne,My Week with Marilyn ,71679,216,English,6400000.0,2011,7.0,17000
Richard Shepard,191,12570442,Comedy|Crime|Drama|Thriller,Adam Scott,The Matador ,40514,234,English,10000000.0,2005,6.8,808
Theodore Witcher,16,12514138,Drama|Romance,Leonard Roberts,Love Jones ,2801,28,English,10000000.0,1997,7.4,1000
Joel Edgerton,297,43771291,Mystery|Thriller,Busy Philipps,The Gift ,79909,279,English,5000000.0,2015,7.1,15000
Jim Hanon,47,11703287,Adventure|Drama,Chase Ellison,End of the Spear ,4360,148,English,10000000.0,2005,7.0,1000
Tommy O'Haver,63,11560259,Comedy|Romance,Mila Kunis,Get Over It ,15617,180,English,22000000.0,2001,5.8,0
Mike Judge,144,10824921,Comedy,Gary Cole,Office Space ,200293,621,English,10000000.0,1999,7.8,16000
Michael Patrick Jann,77,10561238,Comedy|Romance|Thriller,Kirsten Dunst,Drop Dead Gorgeous ,27265,321,English,10000000.0,1999,6.5,0
Tim Burton,325,14479776,Biography|Crime|Drama|Romance,Christoph Waltz,Big Eyes ,55539,147,English,10000000.0,2014,7.0,20000
Peter Berg,100,9801782,Comedy|Crime|Thriller,Jon Favreau,Very Bad Things ,39331,481,English,10000000.0,1998,6.3,0
Joe Nussbaum,52,8070311,Comedy|Romance,Steve Carell,Sleepover ,12706,75,English,10000000.0,2004,5.3,0
Brian De Palma,98,25517500,Mystery|Thriller,Melanie Griffith,Body Double ,20113,178,English,10000000.0,1984,6.8,0
Jorma Taccone,163,8460995,Action|Comedy|Romance,Jasper Cole,MacGruber ,35888,125,English,10000000.0,2010,5.5,0
Stephen Frears,137,8111360,Crime|Drama|Thriller,Sophie Okonedo,Dirty Pretty Things ,34848,203,English,10000000.0,2002,7.4,0
Elizabeth Banks,180,8828771,Comedy,Hugh Jackman,Movie 43 ,79146,352,English,6000000.0,2013,4.3,25000
Jeff Lowell,100,7563670,Comedy|Fantasy|Romance,Stephen Root,Over Her Dead Body ,21268,53,English,10000000.0,2008,5.2,518
Lorene Scafaria,265,6619173,Adventure|Comedy|Drama|Romance|Sci-Fi,Steve Carell,Seeking a Friend for the End of the World ,87203,221,English,10000000.0,2012,6.7,25000
Miguel Arteta,212,6857503,Comedy,Kurtwood Smith,Cedar Rapids ,32697,85,English,20000000.0,2011,6.3,0
unknown,68,25517500,Comedy|Crime|Drama|Mystery|Romance,Michaela Conlin,Bones             ,111506,173,English,20000000.0,2009,7.9,0
Tony Kaye,162,6712241,Crime|Drama,Ethan Suplee,American History X ,782437,1420,English,7500000.0,1998,8.6,35000
Marcus Dunstan,147,6842058,Action|Horror|Thriller,Daniel Sharman,The Collection ,36029,99,English,10000000.0,2012,6.1,14000
Timothy Björklund,33,6491350,Animation|Comedy|Family|Fantasy|Musical,Nathan Lane,Teacher's Pet ,1231,26,English,10000000.0,2004,5.8,49
François Girard,94,9473382,Drama|Music|Mystery|Romance,Johannes Silberschneider,The Red Violin ,26832,247,French,10000000.0,1998,7.7,0
